bms_number,category,coordinates,responsibility,status,date,searched_adress,message,message_links
4487,"NA","NA","NA","NA","NA","NA","NA","NA"
4488,Beleuchtung > Straßenlaternen defekt,"47.6692728296549, 9.19253551313396","
                        
                                Stadtwerke Konstanz

                            
                            
                        
                    ",Gelöst,"
                    
                        
                            Diese Anfrage wurde am 05.02.2021 via iOS gestellt.
                        
                    
                ","keine(autom. ermittelt: Hebelstraße 12A, 78464 Konstanz, Germany                    ","
            Laterne brennt nicht 

        ","NA"
4489,Müll/Sauberkeit > Altglascontainer überfüllt,"47.6877293018125, 9.14386184212153","
                        
                                Technische Betriebe

                            
                            
                        
                    ",Gelöst,"
                    
                        
                            Diese Anfrage wurde am 05.02.2021 via iOS gestellt.
                        
                    
                ","keine(autom. ermittelt: Mühlenweg 9, 78467 Konstanz, Germany                    ","
            bei den Altglascontainern Verschmutzungen, Restglas, Schraubdeckel. Und Schlachtabfälle (abgetrenntes Hinterbein mit Schinken) ohne Verpackung - liegt auf dem Container. Ich mache es nicht weg - wohin auch damit? Gefahr: Katzen, Füchse,Ratten - vvlt auch spielende Kinder

        ","NA"
4490,"NA","NA","NA","NA","NA","NA","NA","NA"
4491,"NA","NA","NA","NA","NA","NA","NA","NA"
4492,"Straßen, Fahrrad & Verkehr > Straßenschäden","47.6748488759114, 9.17865070282372","
                        
                                Technische Betriebe

                            
                            
                        
                    ",Gelöst,"
                    
                        
                            Diese Anfrage wurde am 06.02.2021 via api gestellt.
                        
                    
                ","keine(autom. ermittelt: Gottfried-Keller-Straße 21, 78467 Konstanz, Germany                    ","
            Extreme Straßenschäden, Gefahr für KFz und noch extremer für Fahrradfahrer

        ","NA"
4493,"Straßen, Fahrrad & Verkehr > Gullideckel/ Kanal verstopft","47.6667995788869, 9.16998834477463","
                        
                                Technische Betriebe

                            
                            
                        
                    ",Gelöst,"
                    
                        
                            Diese Anfrage wurde am 06.02.2021 via api gestellt.
                        
                    
                ","Zasiusstraße 12(autom. ermittelt: Rheingutstraße 17, 78462 Konstanz, Germany                    ","
            Ecke Rheingutstraße/Zasiusstraße (bei Fahrschule)
Wasser fließt nicht ab, Kanalisation, Abfluss defekt
(Adresssuche nach: Zasiusstraße 12)

        ","NA"
4494,Beleuchtung > Straßenlaternen defekt,"47.6694705711772, 9.17844298605088","
                        
                                Stadtwerke Konstanz

                            
                            
                        
                    ",Gelöst,"
                    
                        
                            Diese Anfrage wurde am 07.02.2021 via api gestellt.
                        
                    
                ","keine(autom. ermittelt: Georg-Elser-Platz 1, 78467 Konstanz, Germany                    ","
            Am Georg Elser Platz, am Spielplatzrand, gegenüber des Parkplatzes des städtischen Dienstgebäude ist die Straßenlaterne Nr 24 dunkel

        ","NA"
4495,Beleuchtung > Straßenlaternen defekt,"47.6712233259392, 9.17602582940185","
                        
                                Stadtwerke Konstanz

                            
                            
                        
                    ",Gelöst,"
                    
                        
                            Diese Anfrage wurde am 07.02.2021 via api gestellt.
                        
                    
                ","keine(autom. ermittelt: Markgrafenstraße 17, 78467 Konstanz, Germany                    ","
            In der Gebhardstraße an der Kreuzung zur Markgrafenstraße ist die Laterne Nr. 5 dunkel.

        ","NA"
4496,Beleuchtung > Straßenlaternen defekt,"47.6710124929623, 9.17711539129531","
                        
                                Stadtwerke Konstanz

                            
                            
                        
                    ",Gelöst,"
                    
                        
                            Diese Anfrage wurde am 07.02.2021 via api gestellt.
                        
                    
                ","keine(autom. ermittelt: Markgrafenstraße 7, 78467 Konstanz, Germany                    ","
            in der Markgrafenstraße ist die Strassenlaterne Nr. 2 sporadisch, nächtelang dunkel

        ","NA"
4497,"NA","NA","NA","NA","NA","NA","NA","NA"
4498,"NA","NA","NA","NA","NA","NA","NA","NA"
4499,"NA","NA","NA","NA","NA","NA","NA","NA"
4500,"NA","NA","NA","NA","NA","NA","NA","NA"
4501,"Pflanzenwuchs > Verkehrsbehindernder Heckenwuchs, Sträucher","47.6561374, 9.1708805","
                        
                                Technische Betriebe

                            
                            
                        
                    ",Gelöst,"
                    
                        
                            Diese Anfrage wurde am 08.02.2021 via api gestellt.
                        
                    
                ","Schwedenschanze 5(autom. ermittelt: Schwedenschanze 5, 78462 Konstanz, Germany                    ","
            Dicker abgebrochener Ast hängt in der Baumkrone. Öffentliche Grünfläche gegenber der Arche.
(Adresssuche nach: Schwedenschanze 5)

        ","NA"
4502,"NA","NA","NA","NA","NA","NA","NA","NA"
4503,"NA","NA","NA","NA","NA","NA","NA","NA"
4504,Beleuchtung > Straßenlaternen defekt,"47.6778757011132, 9.17745675891638","
                        
                                Stadtwerke Konstanz

                            
                            
                        
                    ",Gelöst,"
                    
                        
                            Diese Anfrage wurde am 09.02.2021 via android gestellt.
                        
                    
                ","keine(autom. ermittelt: Lortzingstraße 5, 78467 Konstanz, Germany                    ","
            Straßenlaterne Nr.2 Lortzingstraße ist aus.

        ","NA"
4505,"NA","NA","NA","NA","NA","NA","NA","NA"
4506,"NA","NA","NA","NA","NA","NA","NA","NA"
4507,Beleuchtung > Straßenlaternen defekt,"47.6777868816091, 9.16823403397692","
                        
                                Stadtwerke Konstanz

                            
                            
                        
                    ",Gelöst,"
                    
                        
                            Diese Anfrage wurde am 10.02.2021 via api gestellt.
                        
                    
                ","keine(autom. ermittelt: Moosstraße 35, 78467 Konstanz, Germany                    ","
            Straßenlaterne defekt

        ","NA"
4508,"NA","NA","NA","NA","NA","NA","NA","NA"
4509,"NA","NA","NA","NA","NA","NA","NA","NA"
4510,"NA","NA","NA","NA","NA","NA","NA","NA"
4511,"NA","NA","NA","NA","NA","NA","NA","NA"
4512,"NA","NA","NA","NA","NA","NA","NA","NA"
4513,"NA","NA","NA","NA","NA","NA","NA","NA"
4514,"NA","NA","NA","NA","NA","NA","NA","NA"
4515,"NA","NA","NA","NA","NA","NA","NA","NA"
4516,"Straßen, Fahrrad & Verkehr > Straßenschäden","47.6724404766655, 9.16358573675555","
                        
                                Technische Betriebe

                            
                            
                        
                    ",Gelöst,"
                    
                        
                            Diese Anfrage wurde am 13.02.2021 via api gestellt.
                        
                    
                ","keine(autom. ermittelt: B33 178, 78467 Konstanz, Germany                    ","
            Auf dem P+R Parkplatz Bodenseeforum unter der Rheinbrücke sind immer tiefer werdende Schlaglöcher. Eines direkt bei der Einfahrt auf den Parkplatz am Übergang vom Asphalt auf den Kiesplatz und weitere einige Meter weiter bei der Abbiegung nach rechts und links. Ein Auffüllen mit Kies wäre super!

        ","NA"
4517,"Straßen, Fahrrad & Verkehr > Schilder unkenntlich","47.6612526692579, 9.1702398668614","
                        
                                Technische Betriebe

                            
                            
                        
                    ",Gelöst,"
                    
                        
                            Diese Anfrage wurde am 14.02.2021 via api gestellt.
                        
                    
                ","keine(autom. ermittelt: Schützenstraße 4, 78462 Konstanz, Germany                    ","
            Beschilderung auf der Strecke Fahrradbrücke - Döbele - Zoll
---------
Viele Schilder auf dieser Strecke sollte man pflegen - sie sind verschmiert, überklebt, zugewachsen, vermoost und ausgeblichen, je in unterschiedlicher Stärke. Ich hänge Bilder inkl. Umgebung an, damit die Ortsfeststellung einfach fällt.

        ","NA"
4518,"NA","NA","NA","NA","NA","NA","NA","NA"
4519,"NA","NA","NA","NA","NA","NA","NA","NA"
4520,"NA","NA","NA","NA","NA","NA","NA","NA"
4521,"NA","NA","NA","NA","NA","NA","NA","NA"
4522,"NA","NA","NA","NA","NA","NA","NA","NA"
4523,"NA","NA","NA","NA","NA","NA","NA","NA"
4524,"NA","NA","NA","NA","NA","NA","NA","NA"
4525,"NA","NA","NA","NA","NA","NA","NA","NA"
4526,"NA","NA","NA","NA","NA","NA","NA","NA"
4527,Beleuchtung > Straßenlaternen defekt,"47.6809529232544, 9.19117991005015","
                        
                                Stadtwerke Konstanz

                            
                            
                        
                    ",Gelöst,"
                    
                        
                            Diese Anfrage wurde am 17.02.2021 via api gestellt.
                        
                    
                ","keine(autom. ermittelt: Jacob-Burckhardt-Straße 35, 78464 Konstanz, Germany                    ","
            Laterne Nummer 6 ist durch einen herab stürzenden Ast bei dem starken Schneefall beschädigt worden und leuchtet nicht mehr.

        ","NA"
